City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
269,Adamantina,BR,2021-04-03 13:31:18,-21.6853,-51.0725,77.0,47,0,8.05
270,Salalah,OM,2021-04-03 13:27:38,17.0151,54.0924,87.8,70,0,13.8
271,Quelimane,MZ,2021-04-03 13:31:19,-17.8786,36.8883,87.01,66,40,9.22
272,Portoferraio,IT,2021-04-03 13:31:19,42.8115,10.3146,62.01,94,90,5.75
273,Puerto Escondido,MX,2021-04-03 13:31:19,15.85,-97.0667,78.8,83,1,4.61
274,Acobamba,PE,2021-04-03 13:31:20,-11.3525,-75.6594,57.49,69,96,4.14
275,Kutum,SD,2021-04-03 13:25:38,14.2,24.6667,87.96,10,19,10.67
276,Port Lincoln,AU,2021-04-03 13:31:21,-34.7333,135.8667,69.37,54,0,1.88
277,Puerto Leguizamo,CO,2021-04-03 13:31:21,-0.1934,-74.7819,78.3,85,100,1.34
278,Bengkulu,ID,2021-04-03 13:23:44,-3.8004,102.2655,78.62,85,98,15.3
279,Mareeba,AU,2021-04-03 13:27:39,-17.0,145.4333,75.2,88,75,5.75
280,Rio Negro,BR,2021-04-03 13:31:21,-26.1058,-49.7975,61.0,96,87,1.99
281,Chimbote,PE,2021-04-03 13:31:22,-9.0853,-78.5783,72.52,77,62,3.69
282,Daru,PG,2021-04-03 13:31:22,-9.0763,143.2092,77.09,92,100,14.85
283,Mandalgovi,MN,2021-04-03 13:31:22,45.7625,106.2708,34.12,56,6,6.06
284,Sechura,PE,2021-04-03 13:31:23,-5.5569,-80.8222,74.75,68,74,6.24
285,Pelym,RU,2021-04-03 13:31:23,61.0108,61.9978,38.75,84,100,8.77
286,Zhoucheng,CN,2021-04-03 13:31:23,35.9122,116.3117,44.1,39,37,5.35
287,Pangai,TO,2021-04-03 13:31:24,-19.8,-174.35,75.2,100,40,2.3
288,Asmara,ER,2021-04-03 13:31:24,15.3333,38.9333,63.64,55,5,9.73
289,Vostok,RU,2021-04-03 13:27:05,46.4856,135.8833,23.59,59,6,9.4
290,Veraval,IN,2021-04-03 13:28:31,20.9,70.3667,82.26,65,1,10.47
